Year,Country Code,GDP
2001,AFG,2461666315
2001,ALB,4060758804
2001,DZA,54744714110
2001,ASM,..
2001,ADO,1484004617
2001,AGO,8936063723
2001,ATG,773765185.2
2001,ARG,2.69E+11
2001,ARM,2118467913
2001,ABW,1920262570
2001,AUS,3.78E+11
2001,AUT,1.97E+11
2001,AZE,5707618247
2001,BHS,6516651000
2001,BHR,8976207713
2001,BGD,53991289844
2001,BRB,3116500000
2001,BLR,12354820144
2001,BEL,2.38E+11
2001,BLZ,871860600
2001,BEN,2680213931
2001,BMU,3680483000
2001,BTN,476360697.2
2001,BOL,8141537938
2001,BIH,5748990666
2001,BWA,5489608300
2001,BRA,5.59E+11
2001,VGB,..
2001,BRN,5601090584
2001,BGR,14135393876
2001,BFA,2812845514
2001,BDI,876794723.1
2001,CPV,563024383.3
2001,KHM,3979813388
2001,CMR,9633109350
2001,CAN,7.36E+11
2001,CYM,..
2001,CAF,931833302.8
2001,TCD,1709347793
2001,CHI,6232906290
2001,CHL,72336972322
2001,CHN,1.33E+12
2001,COL,98203544965
2001,COM,220093812.2
2001,ZAR,7438189100
2001,COG,2794259756
2001,CRI,16403602943
2001,CIV,11192560827
2001,HRV,23289671102
2001,CUB,31683300000
2001,CUW,..
2001,CYP,10328979964
2001,CZE,67375623427
2001,DNK,1.65E+11
2001,DJI,572417440.8
2001,DMA,343119364.3
2001,DOM,24892595799
2001,ECU,24468324000
2001,EGY,97632008710
2001,SLV,13812700000
2001,GNQ,1461139022
2001,ERI,752368495.5
2001,EST,6245072062
2001,ETH,8231326016
2001,FRO,1154899793
2001,FJI,1660102346
2001,FIN,1.29E+11
2001,FRA,1.38E+12
2001,PYF,..
2001,GAB,5018874179
2001,GMB,687408804.6
2001,GEO,3219487825
2001,DEU,1.95E+12
2001,GHA,5314909954
2001,GIB,..
2001,GRC,1.36E+11
2001,GRL,1086170639
2001,GRD,520444185.2
2001,GUM,..
2001,GTM,18702802399
2001,GIN,2833442750
2001,GNB,392278164.4
2001,GUY,696281471.7
2001,HTI,3596443005
2001,HND,7566498403
2001,HKG,1.69E+11
2001,HUN,53656435272
2001,ISL,8126161154
2001,IND,4.94E+11
2001,IDN,1.60E+11
2001,IRN,1.27E+11
2001,IRQ,..
2001,IRL,1.09E+11
2001,IMY,1614595291
2001,ISR,1.31E+11
2001,ITA,1.16E+12
