Year,CountryName,ccode,Population,TradeOpenness,GDPgrowth
2000,Afghanistan,AFG,19701940,..,..
2000,Albania,ALB,3089027,55.92042873,6.666620515
2000,Algeria,DZA,31183658,62.52959173,3.8
2000,American Samoa,ASM,57522,..,..
2000,Andorra,ADO,65399,..,1.165787064
2000,Angola,AGO,15058638,152.4556525,3.012076171
2000,Antigua and Barbuda,ATG,77648,123.1534659,5.041769297
2000,Argentina,ARG,37057453,22.62250234,-0.788998929
2000,Armenia,ARM,3076098,73.91856775,5.9
2000,Aruba,ABW,90858,145.0728795,-0.364695779
2000,Australia,AUS,19153000,40.90457798,3.868657682
2000,Austria,AUT,8011566,85.47378348,3.368407715
2000,Azerbaijan,AZE,8048600,77.41945487,11.09999925
2000,"Bahamas, The",BHS,297891,91.20146306,4.1492464
2000,Bahrain,BHR,666855,135.8090158,5.299994794
2000,Bangladesh,BGD,131280739,29.32171436,5.293294718
2000,Barbados,BRB,269838,88.78744193,4.507337526
2000,Belarus,BLR,10005000,141.609166,5.8
2000,Belgium,BEL,10251250,141.078994,3.633817208
2000,Belize,BLZ,247312,126.6416164,13.03876213
2000,Benin,BEN,6949366,55.99169036,5.859992101
2000,Bermuda,BMU,61833,..,9.317155577
2000,Bhutan,BTN,564187,82.46935577,6.93302424
2000,Bolivia,BOL,8339512,45.59777511,2.507810809
2000,Bosnia and Herzegovina,BIH,3792878,104.1906109,5.500000436
2000,Botswana,BWA,1736579,91.92472969,1.987695854
2000,Brazil,BRA,175786441,22.63977857,4.112564911
2000,British Virgin Islands,VGB,20643,..,..
2000,Brunei Darussalam,BRN,330554,103.1716255,2.849421759
2000,Bulgaria,BGR,8170172,78.32361937,5.010949366
2000,Burkina Faso,BFA,11607944,34.5123825,1.820241893
2000,Burundi,BDI,6767073,22.55372449,-0.856864059
2000,Cabo Verde,CPV,438737,87.52060836,14.28486883
2000,Cambodia,KHM,12197905,111.6095341,8.766785439
2000,Cameroon,CMR,15927713,42.91454449,4.173581032
2000,Canada,CAN,30769700,82.85772601,5.182690286
2000,Cayman Islands,CYM,41685,..,..
2000,Central African Republic,CAF,3726048,45.65978199,-2.489450101
2000,Chad,TCD,8343321,51.57117201,-0.879681025
2000,Channel Islands,CHI,148725,..,5.826641469
2000,Chile,CHL,15170387,57.86519771,4.495792997
2000,China,CHN,1262645000,39.36125112,8.42928216
2000,Colombia,COL,40403959,32.66708547,4.419993
2000,Comoros,COM,547696,51.09948807,10.84807498
2000,"Congo, Dem. Rep.",ZAR,48048664,27.01440292,-6.910927317
2000,"Congo, Rep.",COG,3109269,123.9098844,7.575980392
2000,Costa Rica,CRI,3925450,94.38912452,1.8008246
2000,Cote d'Ivoire,CIV,16517948,74.63780424,-2.068400057
2000,Croatia,HRV,4426000,76.05694432,3.767496172
2000,Cuba,CUB,11116787,31.07619122,5.915865714
2000,Curacao,CUW,133860,..,..
2000,Cyprus,CYP,943287,138.2732783,5.673380231
2000,Czech Republic,CZE,10255063,98.51312678,4.294136059
2000,Denmark,DNK,5339616,83.06835721,3.746890518
2000,Djibouti,DJI,722562,85.43841544,0.416213954
2000,Dominica,DMA,69679,97.54145338,0.375310954
2000,Dominican Republic,DOM,8562623,82.91427366,5.656604877
2000,Ecuador,ECU,12628596,59.4646993,1.091801564
2000,"Egypt, Arab Rep.",EGY,68334905,39.0179359,5.368005967
2000,El Salvador,SLV,5811836,69.83424825,2.152652497
2000,Equatorial Guinea,GNQ,530896,334.1331018,18.21377995
2000,Eritrea,ERI,3535156,67.88136193,-3.141985774
2000,Estonia,EST,1396985,126.5135469,10.56808194
2000,Ethiopia,ETH,66443603,..,6.073217492
2000,Faroe Islands,FRO,46491,107.1969256,..
2000,Fiji,FJI,811223,135.421932,-1.699999246
2000,Finland,FIN,5176209,74.99431239,5.634847452
2000,France,FRA,60912498,55.25936459,3.875162259
2000,French Polynesia,PYF,237267,29.12537837,4.000000343
2000,Gabon,GAB,1231548,101.7019289,-1.882966398
2000,"Gambia, The",GMB,1228863,56.35981989,5.500000174
2000,Georgia,GEO,4418300,62.66184255,1.838341787
2000,Germany,DEU,82211508,61.3899966,2.962045368
2000,Ghana,GHA,18824994,116.0484302,3.700000115
2000,Gibraltar,GIB,27351,..,..
2000,Greece,GRC,10805808,58.41567754,3.919770772
2000,Greenland,GRL,56200,..,7.10159701
2000,Grenada,GRD,101620,104.9652601,1.872901282
2000,Guam,GUM,155328,..,..
2000,Guatemala,GTM,11688660,49.1455879,3.608868745
2000,Guinea,GIN,8799165,53.48171901,2.503060561
2000,Guinea-Bissau,GNB,1315455,54.87335091,5.426987367
2000,Guyana,GUY,742218,206.768601,-1.376727515
2000,Haiti,HTI,8549202,46.10982212,0.875239923
2000,Honduras,HND,6243080,120.3921646,5.748148174
2000,"Hong Kong SAR, China",HKG,6665000,279.1192679,7.663485913
2000,Hungary,HUN,10210971,137.2982708,4.227410248
2000,Iceland,ISL,281205,71.94606251,4.723636719
2000,India,IND,1053481072,26.43729384,3.840991157
2000,Indonesia,IDN,211540428,71.43687599,4.920064597
2000,"Iran, Islamic Rep.",IRN,65850062,41.25724746,5.845527476
2000,Iraq,IRQ,23574751,125.3365956,1.406474812
2000,Ireland,IRL,3805174,175.1742669,10.22875255
2000,Isle of Man,IMY,76806,..,5.338364279
2000,Israel,ISR,6289000,71.18785672,8.942023062
2000,Italy,ITA,56942108,50.47451827,3.710107987
2000,Jamaica,JAM,2589389,..,0.878703548
2000,Japan,JPN,126843000,20.3060448,2.257495302
2000,Jordan,JOR,4767476,110.4885747,4.239817478
2000,Kazakhstan,KAZ,14883626,105.6996926,9.800000002
2000,Kenya,KEN,31065820,53.30904439,0.599695392
2000,Kiribati,KIR,84406,105.4554948,9.506586095
2000,"Korea, Dem. People’s Rep.",PRK,22840218,..,..
2000,"Korea, Rep.",KOR,47008111,67.94720274,8.831278205
2000,Kosovo,KSV,1700000,..,..
2000,Kuwait,KWT,1929470,86.62057131,4.694581988
2000,Kyrgyz Republic,KGZ,4898400,89.43062649,5.426673766
2000,Lao PDR,LAO,5342879,74.31033746,5.798782326
2000,Latvia,LVA,2367550,81.78369781,5.40086984
2000,Lebanon,LBN,3235380,50.11529593,1.34406653
2000,Lesotho,LSO,1856225,169.5687282,5.140339514
2000,Liberia,LBR,2891968,70.31277466,28.61593335
