"","Destination","Dest.Code","Origin","Origin.Code","Year","Value"
"5","Afghanistan","AFG","France","FRA",2001,0
"6","Afghanistan","AFG","China","CHN",2001,0
"8","Afghanistan","AFG","Italy","ITA",2001,0
"10","Afghanistan","AFG","China","CHN",2002,0
"11","Afghanistan","AFG","France","FRA",2002,0
"17","Afghanistan","AFG","Italy","ITA",2002,0
"1","Afghanistan","AFG","Italy","ITA",2003,0
"7","Afghanistan","AFG","China","CHN",2003,0
"35","Afghanistan","AFG","France","FRA",2003,0
"2","Afghanistan","AFG","China","CHN",2004,0
"3","Afghanistan","AFG","Italy","ITA",2004,0
"14","Afghanistan","AFG","France","FRA",2004,1
"9","Afghanistan","AFG","Italy","ITA",2005,0
"12","Afghanistan","AFG","China","CHN",2005,0
"33","Afghanistan","AFG","France","FRA",2005,4
"4","Afghanistan","AFG","France","FRA",2006,1
"13","Afghanistan","AFG","Italy","ITA",2006,0
"18","Afghanistan","AFG","China","CHN",2006,0
"15","Afghanistan","AFG","France","FRA",2007,0
"21","Afghanistan","AFG","China","CHN",2007,0
"29","Afghanistan","AFG","Italy","ITA",2007,0
"19","Afghanistan","AFG","China","CHN",2008,114
"25","Afghanistan","AFG","Italy","ITA",2008,-8
"30","Afghanistan","AFG","France","FRA",2008,0
"27","Afghanistan","AFG","France","FRA",2009,0
"28","Afghanistan","AFG","China","CHN",2009,16
"31","Afghanistan","AFG","Italy","ITA",2009,-9
"16","Afghanistan","AFG","China","CHN",2010,2
"20","Afghanistan","AFG","France","FRA",2010,0
"34","Afghanistan","AFG","Italy","ITA",2010,-7
"22","Afghanistan","AFG","France","FRA",2011,0
"24","Afghanistan","AFG","China","CHN",2011,296
"26","Afghanistan","AFG","Italy","ITA",2011,-6
"23","Afghanistan","AFG","China","CHN",2012,18
"32","Afghanistan","AFG","Italy","ITA",2012,-5
"36","Afghanistan","AFG","France","FRA",2012,0
"217","Albania","ALB","Poland","POL",2001,0
"242","Albania","ALB","France","FRA",2001,30
"244","Albania","ALB","Czech Republic","CZE",2001,0
"261","Albania","ALB","Luxembourg","LUX",2001,0
"262","Albania","ALB","Turkey","TUR",2001,0
"269","Albania","ALB","Austria","AUT",2001,-2
"279","Albania","ALB","Greece","GRC",2001,0
"293","Albania","ALB","Germany","DEU",2001,0
"294","Albania","ALB","Belgium","BEL",2001,0
"310","Albania","ALB","Italy","ITA",2001,0
"334","Albania","ALB","Bulgaria","BGR",2001,0
"349","Albania","ALB","United States","USA",2001,0
"359","Albania","ALB","Croatia","HRV",2001,0
"206","Albania","ALB","Austria","AUT",2002,0
"224","Albania","ALB","Croatia","HRV",2002,0
"225","Albania","ALB","Luxembourg","LUX",2002,0
"235","Albania","ALB","United States","USA",2002,0
"247","Albania","ALB","Czech Republic","CZE",2002,0
"250","Albania","ALB","Poland","POL",2002,-4
"257","Albania","ALB","Italy","ITA",2002,0
"282","Albania","ALB","Germany","DEU",2002,12
"307","Albania","ALB","Belgium","BEL",2002,0
"315","Albania","ALB","Turkey","TUR",2002,0
"329","Albania","ALB","Bulgaria","BGR",2002,0
"347","Albania","ALB","France","FRA",2002,2
"358","Albania","ALB","Greece","GRC",2002,0
"236","Albania","ALB","Belgium","BEL",2003,0
"259","Albania","ALB","Italy","ITA",2003,0
"264","Albania","ALB","United States","USA",2003,-1
"268","Albania","ALB","Turkey","TUR",2003,0
"273","Albania","ALB","Greece","GRC",2003,35
"277","Albania","ALB","Bulgaria","BGR",2003,0
"296","Albania","ALB","Luxembourg","LUX",2003,0
"305","Albania","ALB","Austria","AUT",2003,0
"316","Albania","ALB","Poland","POL",2003,0
"320","Albania","ALB","Germany","DEU",2003,10
"343","Albania","ALB","Croatia","HRV",2003,0
"354","Albania","ALB","Czech Republic","CZE",2003,0
"356","Albania","ALB","France","FRA",2003,3
"208","Albania","ALB","Germany","DEU",2004,5
"210","Albania","ALB","Austria","AUT",2004,153
"227","Albania","ALB","Luxembourg","LUX",2004,0
"246","Albania","ALB","Croatia","HRV",2004,0
"252","Albania","ALB","Turkey","TUR",2004,0
"265","Albania","ALB","France","FRA",2004,-2
"278","Albania","ALB","Poland","POL",2004,0
"286","Albania","ALB","Belgium","BEL",2004,0
"291","Albania","ALB","United States","USA",2004,0
"297","Albania","ALB","Bulgaria","BGR",2004,0
"319","Albania","ALB","Czech Republic","CZE",2004,0
"332","Albania","ALB","Italy","ITA",2004,0
"355","Albania","ALB","Greece","GRC",2004,6
"214","Albania","ALB","Bulgaria","BGR",2005,0
"215","Albania","ALB","France","FRA",2005,0
"220","Albania","ALB","Germany","DEU",2005,9
"222","Albania","ALB","Austria","AUT",2005,21
"226","Albania","ALB","Belgium","BEL",2005,0
"266","Albania","ALB","Czech Republic","CZE",2005,0
"287","Albania","ALB","Croatia","HRV",2005,8
"300","Albania","ALB","Luxembourg","LUX",2005,0
"301","Albania","ALB","Poland","POL",2005,0
"313","Albania","ALB","Greece","GRC",2005,4
"322","Albania","ALB","Turkey","TUR",2005,3
"327","Albania","ALB","Italy","ITA",2005,0
"339","Albania","ALB","United States","USA",2005,0
"233","Albania","ALB","Croatia","HRV",2006,0
"241","Albania","ALB","Germany","DEU",2006,13
"253","Albania","ALB","Poland","POL",2006,0
"255","Albania","ALB","Austria","AUT",2006,37
"280","Albania","ALB","Bulgaria","BGR",2006,5
"285","Albania","ALB","Czech Republic","CZE",2006,0
"298","Albania","ALB","France","FRA",2006,1
"311","Albania","ALB","Belgium","BEL",2006,0
"323","Albania","ALB","Greece","GRC",2006,86
"328","Albania","ALB","United States","USA",2006,0
"330","Albania","ALB","Turkey","TUR",2006,0
"337","Albania","ALB","Luxembourg","LUX",2006,3
"353","Albania","ALB","Italy","ITA",2006,0
"209","Albania","ALB","Poland","POL",2007,0
"212","Albania","ALB","United States","USA",2007,0
"238","Albania","ALB","Czech Republic","CZE",2007,0
"272","Albania","ALB","Italy","ITA",2007,0
"276","Albania","ALB","Croatia","HRV",2007,2
"288","Albania","ALB","Turkey","TUR",2007,26
"290","Albania","ALB","France","FRA",2007,0
"292","Albania","ALB","Greece","GRC",2007,129
"306","Albania","ALB","Austria","AUT",2007,76
"317","Albania","ALB","Germany","DEU",2007,23
"350","Albania","ALB","Luxembourg","LUX",2007,1
"352","Albania","ALB","Bulgaria","BGR",2007,12
"357","Albania","ALB","Belgium","BEL",2007,0
"205","Albania","ALB","Turkey","TUR",2008,3
"213","Albania","ALB","Bulgaria","BGR",2008,1
"218","Albania","ALB","United States","USA",2008,0
"234","Albania","ALB","Luxembourg","LUX",2008,0
"254","Albania","ALB","Italy","ITA",2008,99
"258","Albania","ALB","Austria","AUT",2008,41
"295","Albania","ALB","Germany","DEU",2008,23
"308","Albania","ALB","Czech Republic","CZE",2008,0
"324","Albania","ALB","Croatia","HRV",2008,-1
"333","Albania","ALB","Poland","POL",2008,0
"336","Albania","ALB","France","FRA",2008,0
"341","Albania","ALB","Belgium","BEL",2008,0
"348","Albania","ALB","Greece","GRC",2008,64
"211","Albania","ALB","Croatia","HRV",2009,-5
"229","Albania","ALB","Luxembourg","LUX",2009,0
"232","Albania","ALB","Austria","AUT",2009,0
"237","Albania","ALB","Czech Republic","CZE",2009,274
"248","Albania","ALB","Poland","POL",2009,0
"260","Albania","ALB","Bulgaria","BGR",2009,10
"267","Albania","ALB","Germany","DEU",2009,25
"281","Albania","ALB","Italy","ITA",2009,131
"302","Albania","ALB","Turkey","TUR",2009,0
"325","Albania","ALB","Greece","GRC",2009,187
"338","Albania","ALB","France","FRA",2009,0
"345","Albania","ALB","Belgium","BEL",2009,0
"351","Albania","ALB","United States","USA",2009,0
"239","Albania","ALB","France","FRA",2010,0
"249","Albania","ALB","Luxembourg","LUX",2010,-4
"270","Albania","ALB","Germany","DEU",2010,0
"271","Albania","ALB","Croatia","HRV",2010,1
"275","Albania","ALB","Austria","AUT",2010,0
"283","Albania","ALB","Bulgaria","BGR",2010,-1
"284","Albania","ALB","Italy","ITA",2010,2771
"314","Albania","ALB","Greece","GRC",2010,73
"318","Albania","ALB","Turkey","TUR",2010,3
"326","Albania","ALB","Poland","POL",2010,0
"331","Albania","ALB","United States","USA",2010,0
"335","Albania","ALB","Belgium","BEL",2010,1
"342","Albania","ALB","Czech Republic","CZE",2010,0
"216","Albania","ALB","Greece","GRC",2011,19
"219","Albania","ALB","Bulgaria","BGR",2011,-3
"228","Albania","ALB","Germany","DEU",2011,0
"230","Albania","ALB","Austria","AUT",2011,0
"231","Albania","ALB","Italy","ITA",2011,-266
"240","Albania","ALB","Poland","POL",2011,0
"243","Albania","ALB","Belgium","BEL",2011,6
"251","Albania","ALB","Luxembourg","LUX",2011,19
"256","Albania","ALB","Croatia","HRV",2011,5
"263","Albania","ALB","France","FRA",2011,0
"289","Albania","ALB","Czech Republic","CZE",2011,0
"299","Albania","ALB","United States","USA",2011,0
"340","Albania","ALB","Turkey","TUR",2011,5
"207","Albania","ALB","Austria","AUT",2012,0
"221","Albania","ALB","Germany","DEU",2012,0
"223","Albania","ALB","Poland","POL",2012,0
"245","Albania","ALB","United States","USA",2012,0
"274","Albania","ALB","Belgium","BEL",2012,-8
"303","Albania","ALB","Greece","GRC",2012,15
"304","Albania","ALB","Luxembourg","LUX",2012,-456
"309","Albania","ALB","Turkey","TUR",2012,5
"312","Albania","ALB","Croatia","HRV",2012,-11
"321","Albania","ALB","Italy","ITA",2012,433
"344","Albania","ALB","Czech Republic","CZE",2012,0
"346","Albania","ALB","Bulgaria","BGR",2012,1
"360","Albania","ALB","France","FRA",2012,0
"18650","Algeria","DZA","Malaysia","MYS",2001,0
"18653","Algeria","DZA","Switzerland","CHE",2001,4
"18655","Algeria","DZA","Hungary","HUN",2001,0
"18657","Algeria","DZA","Jordan","JOR",2001,0
"18663","Algeria","DZA","Syrian Arab Republic","SYR",2001,0
"18678","Algeria","DZA","Belgium","BEL",2001,12
"18701","Algeria","DZA","Tunisia","TUN",2001,0
"18708","Algeria","DZA","Finland","FIN",2001,0
"18714","Algeria","DZA","Canada","CAN",2001,2
"18720","Algeria","DZA","Japan","JPN",2001,9
"18731","Algeria","DZA","Australia","AUS",2001,0
"18753","Algeria","DZA","Romania","ROU",2001,0
"18792","Algeria","DZA","Egypt","EGY",2001,363
