"","Origin","destination","Year","Value"
"China.AFG.2001","China","AFG",2001,"0"
"France.AFG.2001","France","AFG",2001,"0"
"Italy.AFG.2001","Italy","AFG",2001,"0"
"China.AFG.2002","China","AFG",2002,"0"
"France.AFG.2002","France","AFG",2002,"0"
"Italy.AFG.2002","Italy","AFG",2002,"0"
"China.AFG.2003","China","AFG",2003,"0"
"France.AFG.2003","France","AFG",2003,"0"
"Italy.AFG.2003","Italy","AFG",2003,"0"
"China.AFG.2004","China","AFG",2004,"0"
"France.AFG.2004","France","AFG",2004,"1"
"Italy.AFG.2004","Italy","AFG",2004,"0"
"China.AFG.2005","China","AFG",2005,"0"
"France.AFG.2005","France","AFG",2005,"4"
"Italy.AFG.2005","Italy","AFG",2005,"0"
"China.AFG.2006","China","AFG",2006,"0"
"France.AFG.2006","France","AFG",2006,"1"
"Italy.AFG.2006","Italy","AFG",2006,"0"
"China.AFG.2007","China","AFG",2007,"0"
"France.AFG.2007","France","AFG",2007,"0"
"Italy.AFG.2007","Italy","AFG",2007,"0"
"China.AFG.2008","China","AFG",2008,"114"
"France.AFG.2008","France","AFG",2008,"0"
"Italy.AFG.2008","Italy","AFG",2008,"- -8"
"China.AFG.2009","China","AFG",2009,"16"
"France.AFG.2009","France","AFG",2009,"0"
"Italy.AFG.2009","Italy","AFG",2009,"- -9"
"China.AFG.2010","China","AFG",2010,"2"
"France.AFG.2010","France","AFG",2010,".."
"Italy.AFG.2010","Italy","AFG",2010,"- -7"
"China.AFG.2011","China","AFG",2011,"296"
"France.AFG.2011","France","AFG",2011,".."
"Italy.AFG.2011","Italy","AFG",2011,"- -6"
"China.AFG.2012","China","AFG",2012,"18"
"France.AFG.2012","France","AFG",2012,".."
"Italy.AFG.2012","Italy","AFG",2012,"- -5"
"Belgium.AGO.2001","Belgium","AGO",2001,"0"
"China.AGO.2001","China","AGO",2001,"0"
"Cyprus.AGO.2001","Cyprus","AGO",2001,"0"
"Denmark.AGO.2001","Denmark","AGO",2001,"0"
"France.AGO.2001","France","AGO",2001,"38"
"Germany.AGO.2001","Germany","AGO",2001,"3"
"Italy.AGO.2001","Italy","AGO",2001,"0"
"Korea, Republic of.AGO.2001","Korea, Republic of","AGO",2001,"0"
"Luxembourg.AGO.2001","Luxembourg","AGO",2001,"0"
"Portugal.AGO.2001","Portugal","AGO",2001,"46"
"Sweden.AGO.2001","Sweden","AGO",2001,"0"
"United States.AGO.2001","United States","AGO",2001,"342"
"Belgium.AGO.2002","Belgium","AGO",2002,"0"
"China.AGO.2002","China","AGO",2002,"0"
"Cyprus.AGO.2002","Cyprus","AGO",2002,"0"
"Denmark.AGO.2002","Denmark","AGO",2002,"0"
"France.AGO.2002","France","AGO",2002,"-- 192"
"Germany.AGO.2002","Germany","AGO",2002,"- -3"
"Italy.AGO.2002","Italy","AGO",2002,"0"
"Korea, Republic of.AGO.2002","Korea, Republic of","AGO",2002,"0"
"Luxembourg.AGO.2002","Luxembourg","AGO",2002,"0"
"Portugal.AGO.2002","Portugal","AGO",2002,"- -17"
"Sweden.AGO.2002","Sweden","AGO",2002,"0"
"United States.AGO.2002","United States","AGO",2002,"-- 263"
"Belgium.AGO.2003","Belgium","AGO",2003,"0"
"China.AGO.2003","China","AGO",2003,"0"
"Cyprus.AGO.2003","Cyprus","AGO",2003,"0"
"Denmark.AGO.2003","Denmark","AGO",2003,"0"
"France.AGO.2003","France","AGO",2003,"- -79"
"Germany.AGO.2003","Germany","AGO",2003,"0"
"Italy.AGO.2003","Italy","AGO",2003,"0"
"Korea, Republic of.AGO.2003","Korea, Republic of","AGO",2003,"0"
"Luxembourg.AGO.2003","Luxembourg","AGO",2003,"1"
"Portugal.AGO.2003","Portugal","AGO",2003,"30"
"Sweden.AGO.2003","Sweden","AGO",2003,"- -1"
"United States.AGO.2003","United States","AGO",2003,"- -36"
"Belgium.AGO.2004","Belgium","AGO",2004,"0"
"China.AGO.2004","China","AGO",2004,"0"
"Cyprus.AGO.2004","Cyprus","AGO",2004,"0"
"Denmark.AGO.2004","Denmark","AGO",2004,"0"
"France.AGO.2004","France","AGO",2004,"22"
"Germany.AGO.2004","Germany","AGO",2004,"2"
"Italy.AGO.2004","Italy","AGO",2004,"0"
"Korea, Republic of.AGO.2004","Korea, Republic of","AGO",2004,"0"
"Luxembourg.AGO.2004","Luxembourg","AGO",2004,"1"
"Portugal.AGO.2004","Portugal","AGO",2004,"86"
"Sweden.AGO.2004","Sweden","AGO",2004,"0"
"United States.AGO.2004","United States","AGO",2004,"- -22"
"Belgium.AGO.2005","Belgium","AGO",2005,"0"
"China.AGO.2005","China","AGO",2005,"0"
"Cyprus.AGO.2005","Cyprus","AGO",2005,"0"
"Denmark.AGO.2005","Denmark","AGO",2005,"4"
"France.AGO.2005","France","AGO",2005,"678"
"Germany.AGO.2005","Germany","AGO",2005,"2"
"Italy.AGO.2005","Italy","AGO",2005,"0"
"Korea, Republic of.AGO.2005","Korea, Republic of","AGO",2005,"0"
"Luxembourg.AGO.2005","Luxembourg","AGO",2005,"0"
"Portugal.AGO.2005","Portugal","AGO",2005,"192"
"Sweden.AGO.2005","Sweden","AGO",2005,"- -1"
"United States.AGO.2005","United States","AGO",2005,"98"
"Belgium.AGO.2006","Belgium","AGO",2006,"0"
"China.AGO.2006","China","AGO",2006,"22"
"Cyprus.AGO.2006","Cyprus","AGO",2006,"0"
"Denmark.AGO.2006","Denmark","AGO",2006,"58"
"France.AGO.2006","France","AGO",2006,"694"
"Germany.AGO.2006","Germany","AGO",2006,"0"
"Italy.AGO.2006","Italy","AGO",2006,"0"
"Korea, Republic of.AGO.2006","Korea, Republic of","AGO",2006,"0"
"Luxembourg.AGO.2006","Luxembourg","AGO",2006,"0"
"Portugal.AGO.2006","Portugal","AGO",2006,"246"
"Sweden.AGO.2006","Sweden","AGO",2006,"0"
"United States.AGO.2006","United States","AGO",2006,"280"
"Belgium.AGO.2007","Belgium","AGO",2007,"0"
"China.AGO.2007","China","AGO",2007,"41"
"Cyprus.AGO.2007","Cyprus","AGO",2007,"0"
"Denmark.AGO.2007","Denmark","AGO",2007,"0"
"France.AGO.2007","France","AGO",2007,"694"
"Germany.AGO.2007","Germany","AGO",2007,"31"
"Italy.AGO.2007","Italy","AGO",2007,"0"
"Korea, Republic of.AGO.2007","Korea, Republic of","AGO",2007,"0"
"Luxembourg.AGO.2007","Luxembourg","AGO",2007,"0"
"Portugal.AGO.2007","Portugal","AGO",2007,"--1 051"
"Sweden.AGO.2007","Sweden","AGO",2007,"0"
"United States.AGO.2007","United States","AGO",2007,"- -99"
"Belgium.AGO.2008","Belgium","AGO",2008,"0"
"China.AGO.2008","China","AGO",2008,"- -10"
"Cyprus.AGO.2008","Cyprus","AGO",2008,"0"
"Denmark.AGO.2008","Denmark","AGO",2008,"0"
"France.AGO.2008","France","AGO",2008,"519"
"Germany.AGO.2008","Germany","AGO",2008,"19"
"Italy.AGO.2008","Italy","AGO",2008,"149"
"Korea, Republic of.AGO.2008","Korea, Republic of","AGO",2008,"6"
"Luxembourg.AGO.2008","Luxembourg","AGO",2008,"0"
"Portugal.AGO.2008","Portugal","AGO",2008,"-- 965"
"Sweden.AGO.2008","Sweden","AGO",2008,"- -3"
"United States.AGO.2008","United States","AGO",2008,"789"
"Belgium.AGO.2009","Belgium","AGO",2009,"- -4"
"China.AGO.2009","China","AGO",2009,"8"
"Cyprus.AGO.2009","Cyprus","AGO",2009,"3"
"Denmark.AGO.2009","Denmark","AGO",2009,"0"
"France.AGO.2009","France","AGO",2009,"-- 478"
"Germany.AGO.2009","Germany","AGO",2009,"0"
"Italy.AGO.2009","Italy","AGO",2009,"-- 110"
"Korea, Republic of.AGO.2009","Korea, Republic of","AGO",2009,"- -5"
"Luxembourg.AGO.2009","Luxembourg","AGO",2009,"0"
"Portugal.AGO.2009","Portugal","AGO",2009,"-- 512"
"Sweden.AGO.2009","Sweden","AGO",2009,"- -3"
"United States.AGO.2009","United States","AGO",2009,"77"
"Belgium.AGO.2010","Belgium","AGO",2010,"- -33"
"China.AGO.2010","China","AGO",2010,"101"
"Cyprus.AGO.2010","Cyprus","AGO",2010,"0"
"Denmark.AGO.2010","Denmark","AGO",2010,"0"
"France.AGO.2010","France","AGO",2010,"1 511"
"Germany.AGO.2010","Germany","AGO",2010,"0"
"Italy.AGO.2010","Italy","AGO",2010,"100"
"Korea, Republic of.AGO.2010","Korea, Republic of","AGO",2010,"0"
"Luxembourg.AGO.2010","Luxembourg","AGO",2010,"0"
"Portugal.AGO.2010","Portugal","AGO",2010,"208"
"Sweden.AGO.2010","Sweden","AGO",2010,"0"
"United States.AGO.2010","United States","AGO",2010,"1 968"
"Belgium.AGO.2011","Belgium","AGO",2011,"1"
"China.AGO.2011","China","AGO",2011,"73"
"Cyprus.AGO.2011","Cyprus","AGO",2011,"0"
"Denmark.AGO.2011","Denmark","AGO",2011,"0"
"France.AGO.2011","France","AGO",2011,"979"
"Germany.AGO.2011","Germany","AGO",2011,"0"
